entry_ts,exit_ts,side,leg,reason,base_units_opened,dynamic_units_opened,scale,base_pnl_usd,compounded_pnl_usd,balance_before,balance_after,liquidated
2026-02-25T11:45:00.000000000Z,2026-02-25T15:18:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,70876.5698,3.37507475,28.066500,94.726536,1662.462453,1757.188989,0
2026-02-25T17:45:00.000000000Z,2026-02-26T00:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,77389.0884,3.68519469,-12.180000,-44.885671,1757.188989,1712.303317,0
2026-02-26T00:15:00.000000000Z,2026-02-26T02:15:00.000000000Z,LONG,EXIT,FLIP,21000.0000,75350.8640,3.58813638,-3.360000,-12.056138,1712.303317,1700.247179,0
2026-02-26T02:15:00.000000000Z,2026-02-26T04:30:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,74837.1345,3.56367307,-9.660000,-34.425082,1700.247179,1665.822097,0
2026-02-26T04:30:00.000000000Z,2026-02-26T06:45:00.000000000Z,LONG,EXIT,FLIP,21000.0000,73274.5756,3.48926550,4.200000,14.654915,1665.822097,1680.477012,0
2026-02-26T06:45:00.000000000Z,2026-02-26T09:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,73898.4645,3.51897450,23.520000,82.766280,1680.477012,1763.243293,0
2026-02-26T09:00:00.000000000Z,2026-02-26T13:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,77660.0925,3.69809964,-14.700000,-54.362065,1763.243293,1708.881228,0
2026-02-26T13:30:00.000000000Z,2026-02-26T15:15:00.000000000Z,SHORT,TP1,TP1,21000.0000,75339.8677,3.58761275,18.238500,65.432675,1708.881228,1774.313903,0
2026-02-26T13:30:00.000000000Z,2026-02-26T15:15:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,75339.8677,3.58761275,28.066500,100.691733,1774.313903,1875.005636,0
2026-02-26T15:30:00.000000000Z,2026-02-26T21:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,82873.6154,3.94636264,26.040000,102.763283,1875.005636,1977.768919,0
2026-02-26T21:30:00.000000000Z,2026-02-27T00:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,87263.1073,4.15538606,-3.150000,-13.089466,1977.768919,1964.679453,0
2026-02-27T00:00:00.000000000Z,2026-02-27T05:20:00.000000000Z,LONG,TP1,TP1,21000.0000,86667.2776,4.12701322,18.238500,75.270531,1964.679453,2039.949984,0
2026-02-27T00:00:00.000000000Z,2026-02-27T05:20:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,86667.2776,4.12701322,28.066500,115.830817,2039.949984,2155.780800,0
2026-02-27T05:45:00.000000000Z,2026-02-27T09:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,94850.3615,4.51668388,15.960000,72.086275,2155.780800,2227.867075,0
2026-02-27T09:15:00.000000000Z,2026-02-27T13:37:00.000000000Z,LONG,EXIT,SL,21000.0000,98126.6881,4.67269943,-60.270000,-281.623595,2227.867075,1946.243480,0
2026-02-27T16:15:00.000000000Z,2026-02-27T20:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,85681.6125,4.08007679,1.680000,6.854529,1946.243480,1953.098009,0
2026-02-27T20:00:00.000000000Z,2026-03-01T22:04:00.000000000Z,LONG,EXIT,SL,21000.0000,85993.0376,4.09490655,-60.270000,-246.800018,1953.098009,1706.297991,0
2026-03-02T03:45:00.000000000Z,2026-03-02T05:06:00.000000000Z,SHORT,TP1,TP1,21000.0000,75245.0268,3.58309652,18.238500,65.350306,1706.297991,1771.648297,0
2026-03-02T03:45:00.000000000Z,2026-03-02T05:06:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,75245.0268,3.58309652,28.066500,100.564978,1771.648297,1872.213275,0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,TP1,TP1,21000.0000,83108.7410,3.95755910,18.238500,72.179942,1872.213275,1944.393217,0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,83108.7410,3.95755910,28.066500,111.074832,1944.393217,2055.468049,0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,TP1,TP1,21000.0000,91003.8602,4.33351715,18.238500,79.036853,2055.468049,2134.504902,0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,91003.8602,4.33351715,28.066500,121.626659,2134.504902,2256.131561,0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,TP1,TP1,21000.0000,99919.0874,4.75805178,18.238500,86.779727,2256.131561,2342.911288,0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,99919.0874,4.75805178,28.066500,133.541860,2342.911288,2476.453149,0
2026-03-02T20:00:00.000000000Z,2026-03-02T22:32:00.000000000Z,SHORT,EXIT,SL,21000.0000,109754.1686,5.22638898,-60.270000,-314.994464,2476.453149,2161.458685,0
2026-03-03T00:00:00.000000000Z,2026-03-03T06:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,95492.8548,4.54727880,8.190000,37.242213,2161.458685,2198.700898,0
2026-03-03T06:45:00.000000000Z,2026-03-03T08:35:00.000000000Z,LONG,EXIT,SL,21000.0000,97191.6261,4.62817267,-60.270000,-278.939967,2198.700898,1919.760931,0
2026-03-03T11:45:00.000000000Z,2026-03-03T14:25:00.000000000Z,LONG,EXIT,SL,21000.0000,85646.2911,4.07839481,-60.270000,-245.804855,1919.760931,1673.956076,0
2026-03-03T15:45:00.000000000Z,2026-03-03T16:17:00.000000000Z,LONG,TP1,TP1,21000.0000,75011.1104,3.57195764,18.238500,65.147149,1673.956076,1739.103225,0
2026-03-03T15:45:00.000000000Z,2026-03-03T16:17:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,75011.1104,3.57195764,28.066500,100.252349,1739.103225,1839.355575,0
2026-03-03T19:00:00.000000000Z,2026-03-04T00:39:00.000000000Z,SHORT,TP1,TP1,21000.0000,81979.8366,3.90380174,18.238500,71.199488,1839.355575,1910.555063,0
2026-03-03T19:00:00.000000000Z,2026-03-04T00:39:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,81979.8366,3.90380174,28.066500,109.566052,1910.555063,2020.121114,0
2026-03-04T02:00:00.000000000Z,2026-03-04T06:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,90337.0615,4.30176483,-23.100000,-99.370768,2020.121114,1920.750347,0
2026-03-04T06:00:00.000000000Z,2026-03-04T07:02:00.000000000Z,SHORT,EXIT,SL,21000.0000,86028.3211,4.09658672,-60.270000,-246.901282,1920.750347,1673.849065,0
2026-03-04T08:15:00.000000000Z,2026-03-04T10:08:00.000000000Z,SHORT,EXIT,SL,21000.0000,74738.1761,3.55896077,-60.270000,-214.498565,1673.849065,1459.350500,0
2026-03-04T11:30:00.000000000Z,2026-03-04T15:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,64908.3325,3.09087298,-43.680000,-135.009332,1459.350500,1324.341168,0
2026-03-04T15:15:00.000000000Z,2026-03-04T18:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,58730.1368,2.79667318,-10.500000,-29.365068,1324.341168,1294.976100,0
2026-03-04T18:00:00.000000000Z,2026-03-05T00:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,57468.5400,2.73659714,-32.970000,-90.225608,1294.976100,1204.750492,0
2026-03-05T00:00:00.000000000Z,2026-03-05T01:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,53345.9434,2.54028302,-22.470000,-57.080159,1204.750492,1147.670332,0
2026-03-05T01:30:00.000000000Z,2026-03-05T04:03:00.000000000Z,SHORT,TP1,TP1,21000.0000,50895.3714,2.42358912,18.238500,44.202630,1147.670332,1191.872962,0
2026-03-05T01:30:00.000000000Z,2026-03-05T04:03:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,50895.3714,2.42358912,28.066500,68.021664,1191.872962,1259.894626,0
2026-03-05T06:45:00.000000000Z,2026-03-05T08:09:00.000000000Z,LONG,EXIT,SL,21000.0000,56043.3851,2.66873263,-60.270000,-160.844515,1259.894626,1099.050111,0
2026-03-05T09:00:00.000000000Z,2026-03-05T09:52:00.000000000Z,LONG,EXIT,SL,21000.0000,48754.3985,2.32163803,-60.270000,-139.925124,1099.050111,959.124987,0
2026-03-05T10:30:00.000000000Z,2026-03-05T14:39:00.000000000Z,SHORT,TP1,TP1,21000.0000,42699.5106,2.03331003,18.238500,37.084525,959.124987,996.209512,0
2026-03-05T10:30:00.000000000Z,2026-03-05T14:39:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,42699.5106,2.03331003,28.066500,57.067896,996.209512,1053.277408,0
2026-03-05T14:45:00.000000000Z,2026-03-05T15:30:00.000000000Z,LONG,EXIT,SL,21000.0000,46919.0883,2.23424230,-60.270000,-134.657783,1053.277408,918.619625,0
2026-03-05T18:30:00.000000000Z,2026-03-05T20:50:00.000000000Z,LONG,TP1,TP1,21000.0000,41181.0405,1.96100193,18.238500,35.765734,918.619625,954.385358,0
2026-03-05T18:30:00.000000000Z,2026-03-05T20:50:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,41181.0405,1.96100193,28.066500,55.038461,954.385358,1009.423819,0
2026-03-05T23:45:00.000000000Z,2026-03-06T02:03:00.000000000Z,SHORT,EXIT,SL,21000.0000,45151.6497,2.15007856,-60.270000,-129.585235,1009.423819,879.838584,0
2026-03-06T08:15:00.000000000Z,2026-03-06T09:36:00.000000000Z,SHORT,TP1,TP1,21000.0000,39228.2328,1.86801109,18.238500,34.069720,879.838584,913.908305,0
2026-03-06T08:15:00.000000000Z,2026-03-06T09:36:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,39228.2328,1.86801109,28.066500,52.428533,913.908305,966.336838,0
2026-03-06T10:45:00.000000000Z,2026-03-06T13:55:00.000000000Z,LONG,EXIT,SL,21000.0000,43210.8001,2.05765715,-60.270000,-124.014996,966.336838,842.321841,0
2026-03-06T16:00:00.000000000Z,2026-03-06T17:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,37670.7082,1.79384325,3.360000,6.027313,842.321841,848.349155,0
2026-03-06T17:30:00.000000000Z,2026-03-06T21:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,37931.6066,1.80626698,-40.320000,-72.828685,848.349155,775.520470,0
2026-03-06T21:45:00.000000000Z,2026-03-08T21:04:00.000000000Z,LONG,EXIT,SL,21000.0000,34580.5777,1.64669417,-60.270000,-99.246258,775.520470,676.274212,0
2026-03-09T01:00:00.000000000Z,2026-03-09T02:54:00.000000000Z,LONG,TP1,TP1,21000.0000,30418.2220,1.44848676,18.238500,26.418226,676.274212,702.692438,0
2026-03-09T01:00:00.000000000Z,2026-03-09T02:54:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,30418.2220,1.44848676,28.066500,40.653954,702.692438,743.346392,0
2026-03-09T06:00:00.000000000Z,2026-03-09T08:29:00.000000000Z,SHORT,TP1,TP1,21000.0000,33265.1622,1.58405534,18.238500,28.890793,743.346392,772.237185,0
2026-03-09T06:00:00.000000000Z,2026-03-09T08:29:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,33265.1622,1.58405534,28.066500,44.458889,772.237185,816.696074,0
2026-03-09T09:00:00.000000000Z,2026-03-09T09:32:00.000000000Z,LONG,TP1,TP1,21000.0000,36578.9298,1.74185380,18.238500,31.768801,816.696074,848.464875,0
2026-03-09T09:00:00.000000000Z,2026-03-09T09:32:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,36578.9298,1.74185380,28.066500,48.887740,848.464875,897.352614,0
2026-03-09T11:30:00.000000000Z,2026-03-09T14:22:00.000000000Z,SHORT,EXIT,SL,21000.0000,40110.0767,1.91000365,-60.270000,-115.115920,897.352614,782.236694,0
2026-03-09T17:00:00.000000000Z,2026-03-09T19:20:00.000000000Z,SHORT,EXIT,SL,21000.0000,34820.6233,1.65812492,-60.270000,-99.935189,782.236694,682.301506,0
2026-03-10T05:00:00.000000000Z,2026-03-10T06:13:00.000000000Z,LONG,TP1,TP1,21000.0000,30278.3668,1.44182699,18.238500,26.296762,682.301506,708.598267,0
